TimeStamp,Open,Close,High,Low,Volume
01 October 2020,10689.46988,10620.33365,10691.53476,10577.66688,20193267987
30 September 2020,10848.0071,10787.89525,10848.0071,10787.89525,17368045904
29 September 2020,10794.06285,10841.14813,10841.14813,10794.06285,17846291621
28 September 2020,10714.19862,10682.22584,10738.7406,10682.22584,19714161748
27 September 2020,10813.9859,10779.16542,10830.60346,10779.16542,16821363925
26 September 2020,10751.81632,10739.19529,10842.65396,10739.19529,15707221968
25 September 2020,10792.4755,10708.30197,10877.16834,10708.30197,18880178881
24 September 2020,10774.41604,10732.28485,10860.64001,10732.28485,21295476908
23 September 2020,10101.53097,10223.44774,10257.33203,10101.53097,19503343639
22 September 2020,10516.7693,10551.58853,10576.83902,10516.7693,20121562677
21 September 2020,10324.17549,10434.89933,10529.61729,10324.17549,25376914179
20 September 2020,10751.11295,10924.95097,10946.2539,10751.11295,22649481335
19 September 2020,10970.81571,11095.82131,11136.10614,10970.81571,19893828929
18 September 2020,10851.15315,10952.66482,11045.99218,10851.15315,22679044928
17 September 2020,11552.11564,10953.38527,11554.23091,10953.38527,26758619933
16 September 2020,10808.264,10945.54931,10945.54931,10808.264,27666726745
15 September 2020,10398.9379,10791.4462,10793.62079,10398.9379,26334900307
14 September 2020,10580.95893,10670.50189,10745.43971,10580.95893,25874492535
13 September 2020,10001.98726,10345.1763,10521.21547,10001.98726,22246321514
12 September 2020,10730.69771,10473.32042,10871.25185,10473.32042,21108571317
11 September 2020,10485.38578,10397.20031,10639.43337,10397.20031,22824434313
10 September 2020,10615.39471,10355.29892,10625.44144,10355.29892,26214936817
09 September 2020,10443.30482,10233.34466,10481.68765,10233.34466,22537449899
08 September 2020,10063.40551,10136.29611,10136.29611,10063.40551,29466989342
07 September 2020,10294.84523,10385.56351,10598.69497,10294.84523,30452051220
06 September 2020,10594.14869,10289.88573,11043.74402,10289.88573,33621131196
05 September 2020,9484.797039,10154.6233,10492.17743,9484.797039,39848202081
04 September 2020,10229.97583,10489.8349,10489.8349,10229.97583,30147387759
03 September 2020,10734.17596,10203.48812,10734.17596,10203.48812,30083564988
02 September 2020,11406.61545,11443.20474,11541.61762,11406.61545,27950151962
01 September 2020,12418.75694,11935.54507,12433.34632,11935.54507,27596314689
31 August 2020,11853.1291,11655.81177,11917.28771,11655.81177,21541727450
30 August 2020,12088.72935,11759.1647,12107.6789,11759.1647,20353228776
29 August 2020,11597.46747,11466.13318,11604.59934,11466.13318,18208116999
28 August 2020,11529.89687,11514.91539,11557.63097,11514.91539,20024095482
27 August 2020,11419.29581,11336.15362,11419.29581,11328.49386,23752012207
26 August 2020,11384.59534,11450.21941,11450.21941,11384.59534,23207711702
25 August 2020,11421.5548,11336.06715,11421.5548,11336.06715,25785928779
24 August 2020,11969.7306,11779.24339,12125.91389,11779.24339,20898824462
23 August 2020,11588.7179,11646.01284,11685.9942,11588.7179,18632600337
22 August 2020,11649.47414,11690.36401,12786.34514,11649.47414,21347853126
21 August 2020,11451.30744,11528.27207,11720.21777,11451.30744,24879944507
20 August 2020,11895.72454,11866.76713,11971.08595,11866.76713,21539668027
19 August 2020,11774.61692,11781.14421,11799.67196,11774.61692,25178931480
18 August 2020,12158.8463,11943.20005,12158.8463,11943.20005,26641398476
17 August 2020,11878.25158,12263.72868,12263.72868,11878.25158,29629115410
16 August 2020,11853.27334,11922.62315,12146.02358,11853.27334,21643767642
15 August 2020,11679.28948,11842.59215,11941.22239,11679.28948,23724426429
14 August 2020,12125.45654,11747.97947,12189.58511,11747.97947,25651923230
13 August 2020,12227.36458,11803.47988,12443.24977,11803.47988,28796910799
12 August 2020,11546.32232,11490.55578,11581.9911,11490.55578,26789032768
11 August 2020,11666.08415,11406.06792,11666.08415,11354.27219,28297106595
10 August 2020,11764.2121,11899.11387,11919.20371,11764.2121,28216268829
09 August 2020,11644.00969,11681.90286,11708.84826,11644.00969,20290446283
08 August 2020,11933.89366,11813.27557,12008.53474,11813.27557,20455272493
07 August 2020,11554.14762,11610.61567,11625.17414,11554.14762,25421390650
06 August 2020,11674.6446,11772.46871,11772.46871,11674.6446,24953187836
05 August 2020,11375.14965,11755.5028,11755.5028,11375.14965,26254070889
04 August 2020,11291.72584,11199.47859,11291.72584,11199.47859,23274749700
03 August 2020,11364.8012,11229.49444,11364.8012,11229.49444,23259139538
02 August 2020,11644.40529,11075.72534,11644.40529,11075.72534,32771202919
01 August 2020,12074.45822,11883.37815,12077.03642,11883.37815,31412819316
31 July 2020,11392.71086,11387.91073,11392.71086,11373.68681,25371742686
30 July 2020,11418.88212,11160.93006,11418.88212,11160.93006,23875472128
29 July 2020,10958.17296,11100.02398,11118.11924,10958.17296,27518127265
28 July 2020,10914.60068,10949.68455,11000.56603,10837.1082,33797512684
27 July 2020,10070.79097,10976.26985,10976.26985,10070.79097,40942335618
26 July 2020,9893.965752,9947.108642,10033.66984,9893.965752,23506949466
25 July 2020,10186.26324,9788.637594,10200.00295,9788.637594,18566572599
24 July 2020,9717.903774,9551.182316,9741.71701,9551.182316,17258336987
23 July 2020,9829.180993,9628.236899,9836.95062,9628.236899,19139527934
22 July 2020,9824.817964,9594.712463,9824.817964,9594.712463,17444942060
21 July 2020,9362.729495,9418.928523,9435.966002,9362.729495,18778267641
20 July 2020,9195.040369,9201.80483,9240.298876,9195.040369,15410033334
19 July 2020,9325.641422,9277.76955,9367.888556,9277.76955,13070803072
18 July 2020,9289.987477,9231.067808,9289.987477,9231.067808,12731238828
17 July 2020,9160.961323,9194.826442,9194.826442,9160.961323,13776526291
16 July 2020,9129.298437,9172.88414,9176.120341,9129.298437,16386743867
15 July 2020,9246.390229,9233.659421,9246.390229,9233.659421,15901839119
14 July 2020,9291.027877,9281.48215,9291.027877,9281.48215,17168537638
13 July 2020,9279.504884,9265.186374,9291.321711,9265.186374,17696744528
12 July 2020,9361.375511,9355.686287,9387.187844,9355.686287,15517307834
11 July 2020,9288.235962,9290.977849,9302.263575,9288.235962,13970082775
10 July 2020,9262.258958,9325.078105,9325.078105,9262.258958,16299290371
09 July 2020,9371.508985,9284.279322,9371.508985,9284.279322,18930145540
08 July 2020,9465.54182,9464.382839,9478.182807,9464.382839,21432598955
07 July 2020,9343.556275,9309.543927,9392.716604,9309.543927,17927702993
06 July 2020,9442.355728,9382.576868,9450.943237,9382.576868,21533254234
05 July 2020,9162.937947,9155.418205,9162.937947,9153.417434,16492121716
04 July 2020,9229.733784,9201.703694,9237.023994,9201.703694,15553610496
03 July 2020,9100.016534,9107.18579,9113.768429,9100.016534,16547765098
02 July 2020,9183.917988,9118.192137,9183.917988,9086.284911,19518756162
01 July 2020,9303.989193,9282.870333,9320.12404,9282.870333,19146781842
30 June 2020,9189.733614,9184.256116,9207.05965,9184.256116,19119917405
29 June 2020,9213.561222,9228.623108,9228.623108,9213.561222,20192313315
28 June 2020,9138.786361,9163.896774,9191.153529,9138.786361,18139827539
27 June 2020,8983.116985,9020.580732,9020.580732,8983.116985,21141767992
26 June 2020,9201.44174,9191.218397,9202.484536,9154.468491,22797050496
25 June 2020,9294.285971,9269.18873,9294.285971,9177.686773,23858896362
24 June 2020,9461.168737,9333.706419,9461.168737,9333.706419,24149550778
23 June 2020,9681.119321,9658.643904,9697.532131,9658.643904,22639791099
22 June 2020,9665.892732,9663.323189,9729.64828,9663.323189,25162282637
21 June 2020,9365.343691,9318.858762,9365.343691,9318.858762,19497471618
20 June 2020,9338.83439,9389.950343,9389.950343,9338.83439,21073253190
19 June 2020,9354.241318,9343.482437,9366.754403,9343.482437,23838459458
18 June 2020,9433.463907,9426.298027,9437.710349,9426.298027,22465665916
17 June 2020,9518.412185,9493.273651,9518.412185,9444.447142,24688946043
16 June 2020,9586.576879,9566.241137,9608.257578,9566.241137,26648352189
15 June 2020,9323.940341,9442.13432,9442.13432,9228.084631,32645892736
14 June 2020,9322.618823,9360.764408,9360.764408,9322.618823,21667951329
13 June 2020,9524.269297,9520.777153,9528.840989,9520.777153,22390826543
12 June 2020,9462.301285,9496.936561,9520.512529,9462.301285,28219597781
11 June 2020,9609.366663,9288.677632,9624.495203,9228.626943,34949939415
10 June 2020,9884.038134,9914.160926,9934.893832,9884.038134,27940202661
09 June 2020,9769.102998,9793.164399,9793.164399,9740.592081,25478063518
08 June 2020,9843.01853,9830.926316,9859.23098,9830.926316,23222105514
07 June 2020,9750.995483,9781.884429,9781.884429,9715.506825,26031053042
06 June 2020,9719.023301,9702.978837,9722.713957,9702.978837,22425158359
05 June 2020,9741.860938,9654.294717,9741.860938,9654.294717,25964529767
04 June 2020,9670.024307,9792.146174,9792.146174,9670.024307,27677233195
03 June 2020,9735.451136,9704.131612,9735.451136,9704.131612,28498508154
02 June 2020,10005.38914,9550.641446,10005.38914,9507.371944,42460436801
01 June 2020,9759.494003,10168.35452,10168.35452,9759.494003,36964873895
31 May 2020,9425.22741,9449.550775,9449.550775,9425.22741,29848225434
30 May 2020,10045.34643,9723.006969,10045.34643,9723.006969,33387508507
29 May 2020,9627.041486,9435.541408,9627.041486,9435.541408,34357912102
28 May 2020,9451.405431,9595.009453,9608.486482,9451.405431,36522281426
27 May 2020,9022.476169,9227.054099,9227.054099,9022.476169,33194411948
26 May 2020,8825.935634,8857.891112,8857.891112,8816.292105,30722782636
25 May 2020,8860.160288,8904.427164,8904.427164,8843.422501,34560126397
24 May 2020,9022.82141,8754.26255,9022.82141,8754.26255,34010466033
23 May 2020,9230.872918,9198.322385,9230.872918,9198.322385,30167202383
22 May 2020,9300.390602,9228.318401,9300.390602,9228.318401,34213804602
21 May 2020,9319.553858,9073.70764,9325.156951,8957.254142,42733743847
20 May 2020,9692.354614,9523.477772,9692.354614,9483.201572,39751977770
19 May 2020,9760.236923,9792.754443,9798.440606,9671.394857,42289263154
18 May 2020,9880.586776,9744.296188,9880.586776,9744.296188,43553778065
17 May 2020,9545.48449,9693.879704,9749.245527,9545.48449,41585364796
16 May 2020,9499.003316,9397.307114,9526.925908,9397.307114,37134089366
15 May 2020,9622.352021,9317.061019,9622.352021,9273.742312,49287947689
14 May 2020,9375.009273,9794.464928,9794.464928,9375.009273,58175800815
13 May 2020,9035.53325,9313.049489,9314.032616,9035.53325,47414676388
12 May 2020,8717.140049,8829.176894,8852.839112,8717.140049,45993934138
11 May 2020,8706.030358,8620.123427,8966.706355,8448.630081,63228493191
10 May 2020,9191.196215,8746.052632,9191.196215,8403.755532,68826542905
09 May 2020,9839.750112,9587.730179,9839.750112,9587.730179,48119980167
08 May 2020,9932.849672,9851.069309,9932.849672,9851.069309,58288383718
07 May 2020,9381.740222,9966.001264,9966.001264,9381.740222,67258356448
06 May 2020,8902.250576,9137.291042,9137.291042,8902.250576,52327264381
05 May 2020,8876.31888,9031.876249,9031.876249,8876.31888,47875170894
04 May 2020,8851.221069,8906.220797,8906.220797,8851.221069,48870509676
03 May 2020,8920.188912,8935.532487,8978.857379,8900.099037,50837955375
02 May 2020,8912.97167,9014.905531,9014.905531,8912.97167,41984033512
01 May 2020,8784.97373,8841.987937,8896.328788,8784.97373,49471332291
30 April 2020,8619.784409,8645.671899,9011.036732,8543.78389,74957950102
29 April 2020,8038.425948,8757.738139,8757.738139,8038.425948,61883950039
28 April 2020,7824.837024,7782.918644,7824.837024,7782.918644,36480703923
27 April 2020,7700.830857,7818.425404,7818.425404,7700.830857,39549449719
26 April 2020,7656.85397,7717.715835,7717.715835,7656.85397,36855736271
25 April 2020,7717.633531,7566.142958,7729.079075,7566.142958,35312695075
24 April 2020,7522.259836,7514.467376,7530.573094,7514.467376,37282120720
23 April 2020,7190.122142,7473.44985,7473.44985,7190.122142,45804571354
22 April 2020,7184.011704,7144.894424,7187.830847,7144.894424,35413601841
21 April 2020,6847.992289,6879.497938,6883.739233,6847.992289,33559537387
20 April 2020,6907.501163,6841.165943,6907.501163,6841.165943,39409378469
19 April 2020,7082.322811,7157.513862,7212.961046,7082.322811,32822966820
18 April 2020,7572.883537,7288.816761,7580.46278,7288.816761,34106341723
17 April 2020,7067.917183,7057.692482,7136.41409,7057.692482,33835147650
16 April 2020,7094.41922,7106.585753,7106.585753,7071.167072,50160664984
15 April 2020,6741.338701,6647.08099,6741.338701,6647.08099,34152041561
14 April 2020,6931.043035,6886.049164,6931.043035,6886.049164,35456605806
13 April 2020,6870.941762,6876.841186,6876.841186,6794.813659,40674351264
12 April 2020,6915.535867,6930.74859,6999.561971,6915.535867,35902222635
11 April 2020,6940.878967,6921.231291,6965.192431,6921.231291,32699183017
10 April 2020,7009.90042,6901.985081,7009.90042,6901.985081,44565586957
09 April 2020,7305.156519,7302.945645,7305.156519,7271.034586,37146117955
08 April 2020,7415.213093,7392.847308,7436.2046,7392.847308,41766201202
07 April 2020,7208.938246,7175.804282,7208.938246,7175.804282,48065265631
